update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,8.1,16173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034,0.002,0.4987,0.0517,0.194,0.000295,0.0,0.0
2,262144,16.3,15946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.001,0.3955,0.032,0.293,0.00029,0.0,0.0
3,393216,25.1,14977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.001,0.3357,0.0313,0.316,0.000285,0.0,0.0
4,524288,34.3,14252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.001,0.2918,0.022,0.338,0.00028,0.0,0.0
5,655360,44.0,13469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017,0.001,0.2685,0.0187,0.325,0.000275,0.01,0.0
6,786432,54.3,12744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011,0.001,0.2585,0.0156,0.348,0.000271,0.01,0.0
7,917504,65.0,12209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008,0.001,0.2408,0.0091,0.304,0.000266,0.01,0.0
8,1048576,75.9,12029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.001,0.2143,0.0068,0.319,0.000261,0.02,0.0
9,1179648,87.3,11548,37.0,38.0,40.0,0.0,100.0,0.0,0.0,-0.0004,0.001,0.1884,0.0081,0.343,0.000256,0.02,25.0
10,1310720,99.0,11190,41.22,59.0,44.22,0.0,100.0,0.0,0.0,-0.0004,0.001,0.1722,0.0085,0.378,0.000251,0.02,22.2
11,1441792,138.0,10803,44.67,59.0,47.67,0.0,100.0,0.0,0.0,-0.0004,0.001,0.162,0.0065,0.394,0.000246,0.03,33.3
12,1572864,150.1,10851,46.97,59.0,49.97,0.0,100.0,0.0,0.0,-0.0004,0.001,0.1506,0.0051,0.445,0.000241,0.04,40.0
13,1703936,160.3,12816,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0007,0.002,0.2223,0.0115,0.355,0.000236,0.04,22.9
14,1835008,169.3,14509,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0016,0.001,0.2345,0.0214,0.369,0.000231,0.04,22.9
15,1966080,178.4,14427,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0008,0.001,0.2028,0.0094,0.368,0.000226,0.04,22.9
16,2097152,188.1,13525,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0008,0.001,0.1932,0.0097,0.389,0.000221,0.03,22.9
17,2228224,198.3,12899,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0007,0.001,0.1743,0.0078,0.367,0.000216,0.03,22.9
18,2359296,209.0,12219,50.91,66.0,53.91,0.0,3.3,96.7,0.0,-0.0006,0.001,0.165,0.0078,0.339,0.000212,0.03,22.9
19,2490368,220.1,11801,50.92,66.0,53.92,0.0,3.4,96.6,0.0,-0.0003,0.001,0.1553,0.007,0.346,0.000207,0.03,23.0
20,2621440,231.8,11197,50.43,66.0,53.43,0.0,3.8,96.2,0.0,-0.0004,0.001,0.146,0.0068,0.354,0.000202,0.04,23.2
21,2752512,271.8,11028,50.41,66.0,53.41,0.0,4.2,95.8,0.0,-0.0004,0.001,0.1317,0.0107,0.387,0.000197,0.04,23.3
22,2883584,284.1,10658,50.32,66.0,53.32,0.0,5.2,94.8,0.0,-0.0004,0.001,0.1236,0.0075,0.425,0.000192,0.04,23.3
23,3014656,296.2,10815,50.63,66.0,53.63,0.0,6.6,93.4,0.0,-0.0005,0.001,0.1159,0.0075,0.466,0.000187,0.05,23.6
24,3145728,308.4,10739,51.67,68.0,54.67,0.1,8.0,92.0,0.0,-0.0005,0.001,0.1086,0.0073,0.522,0.000182,0.05,24.1
25,3276800,320.1,11248,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0003,0.002,0.1053,0.0046,0.35,0.000177,0.06,26.8
26,3407872,328.9,14782,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0012,0.001,0.1986,0.0174,0.388,0.000172,0.06,26.8
27,3538944,338.0,14469,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0006,0.001,0.1616,0.0101,0.431,0.000167,0.05,26.8
28,3670016,347.8,13412,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0006,0.001,0.1479,0.0071,0.431,0.000162,0.05,26.8
29,3801088,358.8,11868,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0004,0.001,0.1418,0.0061,0.419,0.000157,0.05,26.8
30,3932160,369.5,12325,60.42,75.0,63.42,0.1,5.3,94.6,0.0,-0.0004,0.001,0.1315,0.0049,0.387,0.000153,0.05,26.8
31,4063232,408.4,11664,60.16,75.0,63.16,0.1,5.4,94.5,0.0,-0.0004,0.001,0.1234,0.0053,0.392,0.000148,0.05,26.9
32,4194304,419.9,11447,59.13,75.0,62.13,0.1,5.7,94.2,0.0,-0.0004,0.001,0.1152,0.0054,0.395,0.000143,0.05,27.0
33,4325376,431.9,10962,58.28,75.0,61.28,0.1,5.9,94.0,0.0,-0.0004,0.001,0.1095,0.0056,0.423,0.000138,0.06,27.0
34,4456448,444.1,10677,57.97,75.0,60.97,0.1,6.1,93.8,0.0,-0.0003,0.001,0.1051,0.0039,0.454,0.000133,0.06,27.0
35,4587520,456.5,10606,56.19,75.0,59.19,0.1,6.9,93.1,0.0,-0.0003,0.001,0.1026,0.0034,0.48,0.000128,0.06,27.4
36,4718592,468.9,10537,55.18,74.0,58.18,0.1,7.4,92.5,0.0,-0.0004,0.001,0.0997,0.0062,0.513,0.000123,0.07,27.7
