update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,4.9,26533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054,0.005,0.6021,0.0623,-0.841,0.000293,0.04,0.0
2,262144,9.8,27059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004,0.003,0.4686,0.0435,-0.532,0.000287,0.04,0.0
3,393216,14.6,26950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.002,0.3716,0.0281,-0.373,0.00028,0.04,0.0
4,524288,19.6,26482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.001,0.3377,0.0206,0.235,0.000274,0.04,0.0
5,655360,24.6,26206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.001,0.3227,0.0167,0.508,0.000267,0.03,0.0
6,786432,29.6,26067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.001,0.3189,0.0181,0.636,0.000261,0.03,0.0
7,917504,34.9,24796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018,0.001,0.329,0.0142,0.7,0.000254,0.02,0.0
8,1048576,40.5,23626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026,0.001,0.338,0.0242,0.735,0.000248,0.02,0.0
9,1179648,46.6,21285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.001,0.344,0.0199,0.732,0.000241,0.02,0.0
10,1310720,53.1,20266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016,0.002,0.3547,0.0182,0.751,0.000234,0.02,0.0
11,1441792,77.2,19419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.002,0.357,0.0171,0.742,0.000228,0.02,0.0
12,1572864,85.1,16650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.002,0.3492,0.0087,0.746,0.000221,0.02,0.0
13,1703936,91.9,19282,27.63,51.0,30.63,0.0,0.0,100.0,0.0,-0.0007,0.008,0.4697,0.0091,0.308,0.000215,0.02,17.9
14,1835008,98.1,21295,27.63,51.0,30.63,0.0,0.0,100.0,0.0,-0.0031,0.002,0.4506,0.0379,0.044,0.000208,0.02,17.9
15,1966080,105.0,18795,27.63,51.0,30.63,0.0,0.0,100.0,0.0,-0.0012,0.001,0.3776,0.0109,0.328,0.000202,0.02,17.9
16,2097152,112.4,17915,27.63,51.0,30.63,0.0,0.0,100.0,0.0,-0.0013,0.001,0.347,0.0109,0.466,0.000195,0.02,17.9
17,2228224,119.6,18162,27.63,51.0,30.63,0.0,0.0,100.0,0.0,-0.0011,0.002,0.3299,0.011,0.518,0.000189,0.02,17.9
18,2359296,127.0,17699,27.48,51.0,30.48,0.1,0.0,99.9,0.0,-0.0013,0.002,0.3212,0.0209,0.484,0.000182,0.02,18.0
19,2490368,134.7,16885,27.41,51.0,30.41,0.2,0.1,99.7,0.0,-0.001,0.002,0.3042,0.0146,0.53,0.000175,0.02,18.0
20,2621440,142.1,17927,27.87,51.0,30.87,0.3,0.3,99.4,0.0,-0.001,0.002,0.2882,0.0094,0.57,0.000169,0.03,18.0
21,2752512,170.8,16902,29.16,54.0,32.16,0.7,0.7,98.7,0.0,-0.0008,0.002,0.2746,0.009,0.633,0.000162,0.05,18.3
22,2883584,178.5,16913,31.51,54.0,34.51,1.1,1.4,97.4,0.0,-0.0008,0.003,0.2699,0.0076,0.673,0.000156,0.1,18.7
23,3014656,186.0,17573,37.76,58.0,40.76,2.1,2.7,95.2,0.0,-0.0007,0.004,0.2665,0.0091,0.712,0.000149,0.25,20.1
24,3145728,193.2,18182,45.58,65.0,48.58,2.8,4.3,92.9,0.0,-0.0009,0.006,0.2681,0.014,0.727,0.000143,0.59,21.6
25,3276800,200.2,18774,62.34,76.0,65.34,1.8,3.6,94.6,0.0,-0.0004,0.028,0.2638,0.0064,0.437,0.000136,1.34,51.0
26,3407872,206.4,21103,62.34,76.0,65.34,1.8,3.6,94.6,0.0,-0.0036,0.002,0.4615,0.0495,0.418,0.00013,1.29,51.0
27,3538944,212.8,20272,62.34,76.0,65.34,1.8,3.6,94.6,0.0,-0.002,0.002,0.3614,0.0253,0.507,0.000123,1.24,51.0
28,3670016,219.6,19499,62.34,76.0,65.34,1.8,3.6,94.6,0.0,-0.0011,0.002,0.3006,0.011,0.576,0.000116,1.2,51.0
29,3801088,226.6,18710,62.34,76.0,65.34,1.8,3.6,94.6,0.0,-0.0009,0.002,0.2629,0.0074,0.633,0.00011,1.17,51.0
30,3932160,233.7,18483,62.17,77.0,65.17,1.8,3.7,94.5,0.0,-0.0007,0.002,0.2352,0.0063,0.66,0.000103,1.13,51.1
31,4063232,261.9,18050,61.47,77.0,64.47,1.9,3.7,94.4,0.0,-0.0007,0.002,0.2188,0.005,0.682,9.7e-05,1.11,51.1
32,4194304,269.3,17786,60.56,77.0,63.56,1.9,3.8,94.3,0.0,-0.0007,0.002,0.2091,0.0052,0.666,9e-05,1.11,51.2
33,4325376,276.7,17624,60.1,77.0,63.1,2.0,4.0,93.9,0.0,-0.0004,0.003,0.2016,0.0044,0.689,8.4e-05,1.13,51.5
34,4456448,284.2,17386,58.39,77.0,61.39,2.0,5.0,93.0,0.0,-0.0004,0.004,0.2062,0.0022,0.699,7.7e-05,1.18,52.0
35,4587520,291.5,18147,57.55,77.0,60.55,2.1,5.6,92.4,0.0,-0.0005,0.006,0.209,0.0039,0.702,7.1e-05,1.38,52.6
36,4718592,298.3,19068,60.32,82.0,63.32,2.2,6.2,91.6,0.0,-0.0005,0.011,0.2142,0.003,0.709,6.4e-05,1.81,53.5
37,4849664,305.2,19002,64.12,82.0,67.12,2.1,6.9,90.9,0.0,-0.0005,0.018,0.2154,0.0041,0.732,5.8e-05,2.63,54.4
38,4980736,311.8,19816,67.98,85.0,70.98,1.6,5.2,93.2,0.0,-0.0002,0.025,0.3124,0.0017,0.709,5.1e-05,3.16,66.0
39,5111808,318.4,19878,67.98,85.0,70.98,1.6,5.2,93.2,0.0,-0.0014,0.002,0.3109,0.0128,0.608,4.4e-05,3.08,66.0
40,5242880,325.5,18665,67.98,85.0,70.98,1.6,5.2,93.2,0.0,-0.0006,0.002,0.2534,0.0046,0.671,3.8e-05,3.0,66.0
41,5373952,353.7,18795,67.98,85.0,70.98,1.6,5.2,93.2,0.0,-0.0002,0.002,0.2297,0.0,0.704,3.1e-05,2.93,66.0
42,5505024,360.9,18031,68.01,85.0,71.01,1.6,5.2,93.2,0.0,-0.0003,0.002,0.2147,0.0007,0.723,2.5e-05,2.88,66.0
43,5636096,368.4,17502,68.15,85.0,71.15,1.6,5.2,93.2,0.0,-0.0002,0.002,0.1923,0.0008,0.726,1.8e-05,2.84,66.0
44,5767168,375.7,17968,66.84,85.0,69.84,1.6,5.4,93.0,0.0,-0.0002,0.003,0.179,0.0006,0.712,1.5e-05,2.82,66.1
45,5898240,383.1,17846,64.79,85.0,67.79,1.6,5.8,92.6,0.0,-0.0002,0.004,0.1756,0.0001,0.713,1.5e-05,2.85,66.2
46,6029312,390.1,18582,64.12,85.0,67.12,1.7,6.1,92.3,0.0,-0.0001,0.006,0.1799,0.0,0.71,1.5e-05,2.92,66.4
