update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,4.2,30893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,0.015,0.909,0.015,-4.558,0.00029,0.16,0.0
2,262144,8.3,32605,10.0,10.0,13.0,100.0,0.0,0.0,0.0,-0.0018,0.004,0.8482,0.0126,-1.881,0.00028,0.24,0.0
3,393216,12.5,31145,9.5,10.0,12.5,100.0,0.0,0.0,0.0,-0.0012,0.002,0.7971,0.0046,-1.394,0.000271,0.35,25.0
4,524288,17.0,29144,11.41,16.0,14.41,64.7,35.3,0.0,0.0,-0.0016,0.002,0.7689,0.0022,-1.072,0.000261,0.46,82.4
5,655360,21.5,29094,12.52,18.0,15.52,67.2,32.8,0.0,0.0,-0.0026,0.002,0.7446,0.0201,-0.809,0.000251,0.56,86.2
6,786432,25.4,33296,14.45,21.0,17.45,68.5,31.5,0.0,0.0,-0.0023,0.002,0.7121,0.0067,-0.487,0.000241,0.75,90.8
7,917504,29.3,33996,17.28,26.0,20.28,71.7,28.3,0.0,0.0,-0.0027,0.003,0.6816,0.0139,-0.142,0.000231,1.1,92.2
8,1048576,33.2,33389,17.73,27.0,20.73,72.1,27.9,0.0,0.0,-0.0028,0.005,0.6547,0.026,0.163,0.000221,1.88,91.6
9,1179648,37.0,34418,18.57,27.0,21.57,72.5,27.5,0.0,0.0,-0.0023,0.009,0.5987,0.0312,0.404,0.000212,3.51,91.7
10,1310720,40.8,34525,19.57,28.0,22.57,71.9,28.1,0.0,0.0,-0.0019,0.015,0.5275,0.0209,0.597,0.000202,6.09,92.0
11,1441792,58.6,36151,20.07,29.0,23.07,71.4,28.6,0.0,0.0,-0.0017,0.019,0.48,0.0177,0.738,0.000192,9.16,91.9
12,1572864,62.2,36781,20.15,29.0,23.15,71.4,28.6,0.0,0.0,-0.0015,0.021,0.4368,0.0165,0.815,0.000182,12.57,92.0
13,1703936,65.8,36642,34.81,54.0,37.81,29.1,11.7,59.3,0.0,-0.0008,0.043,0.5151,0.0123,0.707,0.000172,14.02,96.5
14,1835008,69.4,35977,34.74,54.0,37.74,29.0,11.7,59.3,0.0,-0.001,0.008,0.5273,0.0032,0.896,0.000162,13.82,96.5
15,1966080,73.1,35671,34.12,54.0,37.12,29.0,11.9,59.1,0.0,-0.0011,0.011,0.4559,0.0058,0.895,0.000153,14.04,96.4
16,2097152,76.8,35499,33.79,54.0,36.79,28.9,11.9,59.3,0.0,-0.0008,0.013,0.4201,0.0014,0.902,0.000143,14.53,96.4
17,2228224,80.4,36299,34.78,54.0,37.78,28.5,11.8,59.8,0.0,-0.001,0.015,0.3874,0.009,0.91,0.000133,15.18,96.5
18,2359296,84.0,36923,38.84,54.0,41.84,27.0,11.2,61.8,0.0,-0.001,0.023,0.3705,0.0078,0.892,0.000123,16.01,96.6
19,2490368,87.5,37248,41.2,53.0,44.2,25.2,10.4,64.3,0.0,-0.0007,0.027,0.3644,0.0053,0.892,0.000113,16.92,96.6
20,2621440,90.9,38392,42.74,59.0,45.74,23.3,9.6,67.1,0.0,-0.0004,0.031,0.3693,0.0025,0.888,0.000103,17.77,96.7
21,2752512,110.5,37664,41.64,54.0,44.64,22.2,9.2,68.6,0.0,-0.0003,0.024,0.3607,0.0015,0.921,9.4e-05,18.6,96.7
22,2883584,114.0,37636,41.19,61.0,44.19,21.7,8.9,69.3,0.1,-0.0005,0.018,0.349,0.0033,0.945,8.4e-05,19.52,96.6
23,3014656,117.5,37285,41.11,61.0,44.11,21.4,8.9,69.5,0.3,-0.0005,0.016,0.3257,0.0027,0.957,7.4e-05,20.59,96.5
24,3145728,120.9,37889,42.26,61.0,45.26,21.1,8.8,69.7,0.4,-0.0006,0.015,0.3043,0.0033,0.964,6.4e-05,21.75,96.5
25,3276800,124.4,37360,42.72,59.0,45.72,14.9,6.2,78.2,0.8,-0.0002,0.13,0.276,0.0001,0.687,5.4e-05,22.97,94.4
26,3407872,127.9,37692,42.34,59.0,45.34,14.9,6.2,78.2,0.8,-0.0018,0.007,0.4637,0.0241,0.959,4.4e-05,22.37,94.4
27,3538944,131.5,36475,42.61,59.0,45.61,14.8,6.2,78.2,0.8,-0.0007,0.007,0.3796,0.0033,0.965,3.5e-05,21.99,94.4
28,3670016,135.1,36885,43.14,61.0,46.14,14.8,6.1,78.1,1.0,-0.0002,0.009,0.3292,0.0,0.962,2.5e-05,21.78,94.4
29,3801088,138.6,36984,43.25,61.0,46.25,14.7,6.1,78.2,1.0,-0.0001,0.009,0.3083,0.0,0.963,1.5e-05,21.69,94.3
30,3932160,142.2,36679,44.36,61.0,47.36,14.4,6.0,78.5,1.1,-0.0001,0.015,0.2968,0.0,0.946,1.5e-05,21.75,94.1
31,4063232,161.4,37618,44.28,61.0,47.28,14.0,5.8,78.8,1.3,-0.0001,0.021,0.299,0.0,0.93,1.5e-05,21.9,94.0
