update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
41,5373952,776.6,9010,56.71,69.0,59.71,0.0,5.6,94.4,0.0,-0.0006,0.001,0.1079,0.0062,0.494,0.000166,0.04,24.7
42,5505024,792.1,8453,56.55,69.0,59.55,0.0,5.6,94.4,0.0,-0.0005,0.001,0.1044,0.0065,0.493,0.000162,0.04,24.7
43,5636096,807.7,8407,55.86,69.0,58.86,0.0,5.7,94.3,0.0,-0.0003,0.001,0.1014,0.0067,0.486,0.000159,0.04,24.7
44,5767168,823.7,8152,54.85,69.0,57.85,0.0,5.9,94.1,0.0,-0.0003,0.001,0.0997,0.0056,0.474,0.000156,0.04,24.7
45,5898240,840.0,8051,52.52,69.0,55.52,0.0,6.2,93.8,0.0,-0.0004,0.001,0.0926,0.0065,0.458,0.000153,0.04,24.7
46,6029312,856.7,7858,50.72,69.0,53.72,0.0,6.6,93.4,0.0,-0.0003,0.001,0.0918,0.0057,0.481,0.000149,0.04,24.6
47,6160384,873.9,7615,50.07,67.0,53.07,0.0,6.9,93.1,0.0,-0.0005,0.001,0.0877,0.0066,0.498,0.000146,0.04,24.6
48,6291456,891.9,7269,52.42,70.0,55.42,0.0,7.4,92.6,0.0,-0.0003,0.001,0.0865,0.0058,0.513,0.000143,0.04,24.6
49,6422528,909.8,7332,55.26,70.0,58.26,0.0,7.9,92.1,0.0,-0.0003,0.001,0.0872,0.006,0.535,0.000139,0.04,24.5
50,6553600,930.5,6338,58.57,69.0,61.57,0.0,6.7,93.3,0.0,-0.0004,0.001,0.0866,0.0059,0.499,0.000136,0.04,23.0
51,6684672,978.8,9209,58.57,69.0,61.57,0.0,6.7,93.3,0.0,-0.0006,0.001,0.1276,0.011,0.463,0.000133,0.04,23.0
52,6815744,993.7,8796,58.37,69.0,61.37,0.0,6.7,93.3,0.0,-0.0009,0.001,0.1141,0.0083,0.519,0.00013,0.04,23.0
53,6946816,1009.2,8494,58.2,69.0,61.2,0.0,6.8,93.2,0.0,-0.0006,0.001,0.1114,0.0065,0.523,0.000126,0.04,23.0
54,7077888,1024.7,8415,58.09,69.0,61.09,0.0,6.8,93.2,0.0,-0.0006,0.001,0.1074,0.0064,0.516,0.000123,0.04,23.0
55,7208960,1040.6,8275,56.96,69.0,59.96,0.0,6.9,93.1,0.0,-0.0006,0.001,0.106,0.0058,0.496,0.00012,0.04,23.0
56,7340032,1057.4,7816,56.32,69.0,59.32,0.0,6.9,93.1,0.0,-0.0005,0.001,0.1,0.0037,0.497,0.000116,0.04,23.0
57,7471104,1074.3,7715,55.52,69.0,58.52,0.0,7.1,92.9,0.0,-0.0003,0.001,0.0941,0.006,0.489,0.000113,0.04,22.9
58,7602176,1091.3,7747,54.17,68.0,57.17,0.0,7.3,92.7,0.0,-0.0004,0.001,0.0938,0.0042,0.505,0.00011,0.04,23.0
59,7733248,1108.6,7578,55.26,70.0,58.26,0.0,7.7,92.3,0.0,-0.0004,0.001,0.0893,0.0031,0.508,0.000107,0.04,23.1
60,7864320,1126.3,7403,57.32,70.0,60.32,0.0,8.1,91.9,0.0,-0.0005,0.001,0.0916,0.0046,0.525,0.000103,0.04,23.3
61,7995392,1182.2,7217,58.21,70.0,61.21,0.0,8.3,91.7,0.0,-0.0004,0.001,0.0917,0.005,0.562,0.0001,0.04,23.3
62,8126464,1200.6,7123,60.16,72.0,63.16,0.0,8.7,91.3,0.0,-0.0003,0.001,0.0918,0.0039,0.576,9.7e-05,0.04,23.4
63,8257536,1216.9,8046,61.29,72.0,64.29,0.0,7.5,92.5,0.0,-0.0006,0.001,0.1134,0.0086,0.524,9.4e-05,0.04,23.4
64,8388608,1232.3,8504,60.74,72.0,63.74,0.0,7.6,92.4,0.0,-0.0008,0.001,0.1167,0.0079,0.538,9e-05,0.04,23.4
65,8519680,1247.9,8397,60.42,73.0,63.42,0.0,7.6,92.4,0.0,-0.0006,0.001,0.1126,0.0051,0.548,8.7e-05,0.04,23.4
66,8650752,1263.5,8379,60.23,73.0,63.23,0.0,7.6,92.4,0.0,-0.0006,0.001,0.1088,0.0054,0.549,8.4e-05,0.04,23.4
67,8781824,1279.8,8027,59.87,73.0,62.87,0.0,7.6,92.4,0.0,-0.0004,0.001,0.1054,0.0026,0.535,8e-05,0.04,23.4
68,8912896,1296.5,7890,59.18,73.0,62.18,0.0,7.7,92.3,0.0,-0.0004,0.001,0.1036,0.0039,0.497,7.7e-05,0.04,23.4
69,9043968,1313.3,7779,57.55,73.0,60.55,0.0,7.9,92.1,0.0,-0.0004,0.001,0.1021,0.0039,0.49,7.4e-05,0.04,23.4
70,9175040,1330.5,7647,54.55,73.0,57.55,0.0,8.2,91.8,0.0,-0.0003,0.001,0.0988,0.003,0.491,7.1e-05,0.04,23.4
71,9306112,1385.5,7584,56.51,73.0,59.51,0.0,8.5,91.5,0.0,-0.0003,0.001,0.0967,0.002,0.52,6.7e-05,0.04,23.5
72,9437184,1403.1,7443,60.42,74.0,63.42,0.0,8.7,91.3,0.0,-0.0004,0.001,0.0966,0.0025,0.54,6.4e-05,0.04,23.5
73,9568256,1421.2,7246,61.96,76.0,64.96,0.0,9.1,90.9,0.0,-0.0004,0.001,0.096,0.0028,0.578,6.1e-05,0.05,23.6
74,9699328,1439.7,7057,63.38,76.0,66.38,0.0,9.3,90.7,0.0,-0.0004,0.001,0.0962,0.0024,0.609,5.8e-05,0.05,23.7
75,9830400,1458.1,7162,64.37,75.0,67.37,0.0,8.7,91.3,0.0,-0.0003,0.001,0.0967,0.0021,0.557,5.4e-05,0.05,24.2
76,9961472,1473.5,8509,64.5,75.0,67.5,0.0,8.7,91.3,0.0,-0.0006,0.001,0.1224,0.0061,0.537,5.1e-05,0.05,24.2
77,10092544,1489.4,8240,64.16,75.0,67.16,0.0,8.7,91.3,0.0,-0.0006,0.001,0.1122,0.0046,0.565,4.8e-05,0.05,24.2
78,10223616,1505.6,8062,63.63,75.0,66.63,0.0,8.8,91.2,0.0,-0.0005,0.001,0.1076,0.0032,0.557,4.4e-05,0.05,24.2
79,10354688,1522.2,7920,62.71,75.0,65.71,0.0,8.9,91.1,0.0,-0.0004,0.001,0.1061,0.003,0.548,4.1e-05,0.05,24.2
80,10485760,1539.1,7720,61.77,78.0,64.77,0.0,9.0,91.0,0.0,-0.0003,0.001,0.105,0.0015,0.515,3.8e-05,0.05,24.2
81,10616832,1594.2,7598,60.46,78.0,63.46,0.0,9.1,90.9,0.0,-0.0004,0.001,0.1063,0.0016,0.494,3.5e-05,0.05,24.3
82,10747904,1613.1,6957,59.23,78.0,62.23,0.0,9.2,90.8,0.0,-0.0003,0.001,0.1037,0.0025,0.494,3.1e-05,0.05,24.4
83,10878976,1630.6,7460,60.89,76.0,63.89,0.0,9.4,90.6,0.0,-0.0002,0.001,0.101,0.0014,0.542,2.8e-05,0.05,24.5
84,11010048,1648.3,7406,61.69,76.0,64.69,0.0,9.7,90.2,0.0,-0.0002,0.001,0.1017,0.0008,0.55,2.5e-05,0.05,24.7
85,11141120,1666.4,7234,62.98,80.0,65.98,0.0,9.9,90.1,0.0,-0.0002,0.001,0.1002,0.0004,0.579,2.1e-05,0.05,24.9
86,11272192,1685.0,7078,62.96,74.0,65.96,0.0,10.3,89.7,0.0,-0.0001,0.001,0.1037,0.0001,0.605,1.8e-05,0.06,25.0
87,11403264,1703.3,7169,64.36,78.0,67.36,0.0,10.5,89.5,0.0,-0.0002,0.001,0.1025,0.0016,0.624,1.5e-05,0.06,25.2
88,11534336,1720.6,7561,66.41,77.0,69.41,0.1,9.9,90.0,0.0,-0.0002,0.001,0.113,0.0005,0.553,1.5e-05,0.06,25.9
89,11665408,1736.3,8351,65.69,77.0,68.69,0.1,10.0,90.0,0.0,-0.0002,0.001,0.1143,0.0004,0.581,1.5e-05,0.06,25.9
90,11796480,1752.4,8116,65.45,77.0,68.45,0.1,10.0,90.0,0.0,-0.0002,0.001,0.1092,0.0013,0.572,1.5e-05,0.06,25.9
91,11927552,1805.9,8037,64.19,78.0,67.19,0.1,10.1,89.9,0.0,-0.0002,0.001,0.1094,0.0005,0.565,1.5e-05,0.06,26.0
92,12058624,1822.7,7803,63.85,78.0,66.85,0.1,10.1,89.8,0.0,-0.0001,0.001,0.108,0.0001,0.526,1.5e-05,0.06,26.0
