update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
52,13631488,599.3,22684,46.12,80.0,49.12,49.1,50.3,0.6,0.0,-0.0005,0.002,0.3205,0.0063,0.661,9.6e-05,0.57,30.3
53,13893632,610.9,22674,48.92,74.0,51.92,48.7,50.6,0.7,0.0,-0.0005,0.002,0.3148,0.0045,0.667,9.2e-05,0.58,31.0
54,14155776,622.2,23129,46.34,73.0,49.34,48.4,51.0,0.7,0.0,-0.0005,0.002,0.3159,0.0049,0.653,8.8e-05,0.59,31.6
55,14417920,633.8,22541,47.29,77.0,50.29,48.1,51.2,0.7,0.0,-0.0005,0.002,0.3149,0.0057,0.665,8.4e-05,0.6,32.1
56,14680064,645.3,22842,45.86,82.0,48.86,47.8,51.6,0.7,0.0,-0.0004,0.002,0.3107,0.0072,0.678,8e-05,0.61,32.7
57,14942208,657.0,22443,46.95,80.0,49.95,47.4,51.9,0.7,0.0,-0.0005,0.002,0.3134,0.0048,0.68,7.6e-05,0.62,33.2
58,15204352,668.4,22916,46.41,77.0,49.41,47.1,52.1,0.7,0.0,-0.0004,0.002,0.3136,0.0034,0.68,7.2e-05,0.62,33.7
59,15466496,679.9,22808,48.92,78.0,51.92,46.8,52.5,0.7,0.0,-0.0003,0.002,0.3142,0.0051,0.682,6.8e-05,0.63,34.3
60,15728640,691.8,22107,49.17,76.0,52.17,46.5,52.8,0.8,0.0,-0.0005,0.002,0.3101,0.0042,0.692,6.4e-05,0.64,34.8
61,15990784,720.7,22279,51.1,77.0,54.1,46.2,53.1,0.8,0.0,-0.0004,0.002,0.3085,0.0038,0.697,6e-05,0.65,35.4
62,16252928,732.3,22672,47.97,77.0,50.97,45.9,53.3,0.8,0.0,-0.0004,0.002,0.307,0.004,0.689,5.6e-05,0.66,35.9
63,16515072,743.9,22574,48.75,85.0,51.75,45.6,53.6,0.8,0.0,-0.0004,0.002,0.3031,0.0034,0.691,5.2e-05,0.67,36.3
64,16777216,755.3,22982,48.11,82.0,51.11,45.3,53.9,0.8,0.0,-0.0004,0.002,0.3014,0.0037,0.694,4.8e-05,0.67,36.8
65,17039360,767.0,22382,49.31,78.0,52.31,45.0,54.2,0.8,0.0,-0.0005,0.002,0.3007,0.0033,0.695,4.4e-05,0.68,37.3
66,17301504,778.8,22141,49.28,83.0,52.28,44.7,54.4,0.9,0.0,-0.0003,0.002,0.2993,0.0023,0.7,4e-05,0.69,37.8
67,17563648,790.3,22908,47.99,79.0,50.99,44.5,54.7,0.9,0.0,-0.0003,0.002,0.3037,0.0014,0.701,3.7e-05,0.7,38.3
68,17825792,801.9,22625,49.65,81.0,52.65,44.2,54.9,0.9,0.0,-0.0003,0.002,0.307,0.003,0.703,3.3e-05,0.7,38.7
69,18087936,813.5,22626,45.69,81.0,48.69,44.0,55.1,0.9,0.0,-0.0003,0.002,0.3004,0.002,0.7,2.9e-05,0.71,39.2
70,18350080,824.9,22884,50.74,77.0,53.74,43.7,55.4,0.9,0.0,-0.0003,0.002,0.2974,0.0016,0.702,2.5e-05,0.72,39.7
71,18612224,855.1,22574,47.68,78.0,50.68,43.4,55.6,0.9,0.0,-0.0003,0.002,0.2957,0.0019,0.707,2.1e-05,0.72,40.1
72,18874368,866.6,22691,48.67,78.0,51.67,43.2,55.8,0.9,0.0,-0.0002,0.002,0.2929,0.0007,0.701,1.7e-05,0.73,40.5
73,19136512,878.3,22498,49.09,79.0,52.09,43.0,56.1,1.0,0.0,-0.0002,0.002,0.2948,0.0002,0.7,1.5e-05,0.74,40.9
74,19398656,890.2,21955,48.98,80.0,51.98,42.7,56.3,1.0,0.0,-0.0002,0.002,0.2925,0.0004,0.709,1.5e-05,0.74,41.4
75,19660800,902.1,22100,47.47,75.0,50.47,42.5,56.5,1.0,0.0,-0.0002,0.002,0.2952,0.0007,0.709,1.5e-05,0.75,41.8
76,19922944,914.0,21940,50.32,82.0,53.32,42.2,56.8,1.0,0.0,-0.0002,0.002,0.2956,0.0005,0.711,1.5e-05,0.76,42.2
77,20185088,925.5,22750,49.65,83.0,52.65,42.0,57.0,1.0,0.0,-0.0002,0.002,0.2978,0.0001,0.718,1.5e-05,0.76,42.6
