update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
41,10747904,679.5,79771,93.02,140.0,96.02,14.6,79.4,6.0,0.0,-0.0001,0.002,0.1178,0.0103,0.822,0.000193,0.8,76.0
42,11010048,682.9,78015,88.63,146.0,91.63,14.7,79.3,5.9,0.0,-0.0001,0.002,0.1121,0.0095,0.819,0.00019,0.81,76.1
43,11272192,686.3,76428,87.3,147.0,90.3,14.8,79.3,5.9,0.0,-0.0003,0.002,0.1119,0.0084,0.828,0.000187,0.82,76.0
44,11534336,689.7,77564,88.35,145.0,91.35,14.8,79.3,5.9,0.0,-0.0002,0.002,0.1115,0.0092,0.831,0.000185,0.83,76.1
45,11796480,693.1,77275,86.32,145.0,89.32,15.0,79.2,5.8,0.0,-0.0003,0.002,0.1171,0.0107,0.834,0.000182,0.84,76.1
46,12058624,696.6,74174,92.87,146.0,95.87,14.9,79.1,5.9,0.0,-0.0002,0.002,0.12,0.0115,0.846,0.000179,0.85,76.3
47,12320768,700.1,76726,91.39,149.0,94.39,15.1,79.0,5.9,0.0,-0.0002,0.002,0.1205,0.0094,0.842,0.000177,0.86,76.2
48,12582912,703.4,78119,94.38,150.0,97.38,15.2,78.9,6.0,0.0,-0.0001,0.002,0.1269,0.0136,0.846,0.000174,0.87,76.3
49,12845056,706.9,75645,85.37,148.0,88.37,15.3,78.8,5.9,0.0,-0.0002,0.002,0.1212,0.0078,0.842,0.000172,0.88,76.2
50,13107200,710.2,79166,88.8,160.0,91.8,15.4,78.7,5.9,0.0,-0.0003,0.002,0.1202,0.0095,0.853,0.000169,0.89,76.2
51,13369344,832.1,77972,93.73,153.0,96.73,15.3,78.6,6.1,0.0,-0.0003,0.002,0.1191,0.0086,0.85,0.000166,0.89,76.3
52,13631488,835.3,81515,93.76,150.0,96.76,15.3,78.5,6.1,0.0,-0.0002,0.002,0.1183,0.0095,0.844,0.000164,0.91,76.4
53,13893632,838.6,78252,87.19,154.0,90.19,15.3,78.6,6.1,0.0,-0.0002,0.002,0.1161,0.0074,0.852,0.000161,0.91,76.4
54,14155776,842.0,78962,89.97,139.0,92.97,15.3,78.6,6.2,0.0,-0.0001,0.002,0.1169,0.0084,0.851,0.000158,0.92,76.5
55,14417920,845.3,79602,87.34,152.0,90.34,15.3,78.6,6.1,0.0,-0.0003,0.002,0.12,0.0067,0.851,0.000156,0.92,76.5
56,14680064,848.6,77242,85.6,148.0,88.6,15.3,78.6,6.1,0.0,-0.0003,0.002,0.1214,0.0065,0.846,0.000153,0.93,76.4
57,14942208,852.0,77092,91.41,146.0,94.41,15.4,78.5,6.1,0.0,-0.0002,0.002,0.1241,0.0079,0.848,0.000151,0.94,76.4
58,15204352,855.3,79832,84.07,153.0,87.07,15.4,78.5,6.0,0.0,-0.0003,0.002,0.1248,0.0082,0.849,0.000148,0.94,76.2
59,15466496,858.7,78752,90.87,152.0,93.87,15.5,78.5,6.0,0.0,-0.0004,0.002,0.1279,0.0083,0.853,0.000145,0.95,76.3
60,15728640,862.0,78866,88.1,152.0,91.1,15.6,78.3,6.1,0.0,-0.0002,0.002,0.1306,0.0094,0.839,0.000143,0.96,76.5
61,15990784,988.5,78547,87.52,142.0,90.52,15.8,78.2,6.0,0.0,-0.0002,0.002,0.1294,0.0071,0.848,0.00014,0.97,76.6
62,16252928,991.7,81772,87.28,149.0,90.28,15.8,78.2,6.0,0.0,-0.0003,0.002,0.1336,0.0072,0.847,0.000137,0.97,76.6
63,16515072,995.0,79363,93.3,164.0,96.3,15.8,78.1,6.2,0.0,-0.0003,0.002,0.1376,0.0079,0.846,0.000135,0.98,76.6
64,16777216,998.2,82857,87.95,146.0,90.95,15.8,78.1,6.1,0.0,-0.0002,0.002,0.1379,0.0069,0.854,0.000132,0.98,76.7
65,17039360,1001.5,79006,81.38,135.0,84.38,15.8,78.2,6.1,0.0,-0.0003,0.002,0.1356,0.0063,0.845,0.00013,0.98,76.5
66,17301504,1004.9,76927,86.45,150.0,89.45,16.0,78.0,6.0,0.0,-0.0002,0.002,0.1342,0.0097,0.848,0.000127,0.99,76.6
67,17563648,1008.2,80731,85.87,151.0,88.87,15.9,78.1,6.0,0.0,-0.0002,0.002,0.1351,0.0069,0.849,0.000124,1.0,76.6
