update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,11.2,11708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.006,1.0442,0.0056,-1.366,0.000284,0.0,0.0
2,262144,21.8,12370,0.29,2.0,3.29,0.0,0.0,100.0,0.0,-0.0039,0.002,1.0299,0.0039,0.026,0.000266,0.01,1.4
3,393216,32.6,12122,0.29,2.0,3.29,0.0,0.0,100.0,0.0,-0.0046,0.001,1.0002,0.0208,0.023,0.000248,0.01,1.4
4,524288,43.2,12402,0.32,3.0,3.32,0.0,0.0,100.0,0.0,-0.0021,0.001,0.9652,0.0042,-0.586,0.00023,0.01,1.1
5,655360,53.7,12397,0.2,2.0,3.2,0.0,0.0,100.0,0.0,-0.0013,0.0,0.9342,0.0048,-1.045,0.000213,0.01,2.0
6,786432,66.2,12226,0.2,2.0,3.2,0.0,0.0,100.0,0.0,-0.0012,0.0,0.9124,0.0119,-1.199,0.000192,0.02,2.0
7,917504,76.7,12407,0.23,2.0,3.23,0.0,0.0,100.0,0.0,-0.0007,0.0,0.9386,0.0042,-1.428,0.000175,0.01,2.4
8,1048576,87.3,12354,0.27,3.0,3.27,0.0,0.0,100.0,0.0,-0.0007,0.0,0.9232,0.0025,-1.838,0.000157,0.01,2.3
9,1179648,98.0,12239,0.27,3.0,3.27,0.0,0.0,100.0,0.0,-0.0006,0.0,0.8985,0.0033,-1.54,0.000139,0.01,2.3
10,1310720,108.7,12337,0.22,3.0,3.22,0.0,0.0,100.0,0.0,-0.0006,0.0,0.8979,0.0041,-1.343,0.000121,0.01,2.4
11,1441792,121.0,12320,0.3,2.0,3.3,0.0,0.0,100.0,0.0,-0.001,0.0,0.8846,0.0112,-1.997,0.000101,0.01,2.2
12,1572864,131.7,12253,0.3,2.0,3.3,0.0,0.0,100.0,0.0,-0.0007,0.0,0.8892,0.0018,-1.132,8.3e-05,0.01,2.2
13,1703936,142.3,12355,0.27,2.0,3.27,0.0,0.0,100.0,0.0,-0.0012,0.0,0.8663,0.0153,-1.012,6.5e-05,0.01,2.1
14,1835008,153.0,12242,0.27,2.0,3.27,0.0,0.0,100.0,0.0,-0.0009,0.0,0.8415,0.0022,-1.249,4.7e-05,0.01,2.1
15,1966080,163.7,12291,0.38,2.0,3.38,0.0,0.0,100.0,0.0,-0.0007,0.0,0.8112,0.0,-0.683,3e-05,0.01,1.9
16,2097152,176.1,12238,0.39,3.0,3.39,0.0,0.0,100.0,0.0,-0.0003,0.0,0.782,0.0,-1.028,1.5e-05,0.01,1.8
17,2228224,186.9,12083,0.39,3.0,3.39,0.0,0.0,100.0,0.0,-0.0003,0.0,0.7509,0.0,-0.819,1.5e-05,0.01,1.8
