update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
40,10485760,436.2,23696,44.48,74.0,47.48,52.8,46.8,0.4,0.0,-0.0007,0.002,0.3603,0.0115,0.612,0.000143,0.41,20.9
41,10747904,465.8,23566,42.19,70.0,45.19,52.3,47.3,0.4,0.0,-0.0006,0.002,0.3535,0.006,0.631,0.000139,0.43,21.7
42,11010048,476.8,23664,43.89,80.0,46.89,51.9,47.7,0.4,0.0,-0.0005,0.002,0.3487,0.0067,0.628,0.000135,0.44,22.4
43,11272192,487.9,23734,44.39,72.0,47.39,51.4,48.1,0.5,0.0,-0.0005,0.002,0.3481,0.0063,0.639,0.000131,0.45,23.1
44,11534336,499.3,23061,44.86,84.0,47.86,51.0,48.6,0.5,0.0,-0.0005,0.002,0.3477,0.0086,0.645,0.000127,0.47,23.9
45,11796480,510.5,23208,43.53,78.0,46.53,50.5,49.0,0.5,0.0,-0.0005,0.002,0.347,0.0084,0.646,0.000123,0.48,24.6
46,12058624,521.8,23219,45.9,74.0,48.9,50.1,49.4,0.5,0.0,-0.0005,0.002,0.3446,0.0057,0.66,0.000119,0.49,25.3
47,12320768,533.1,23305,48.74,80.0,51.74,49.7,49.8,0.5,0.0,-0.0005,0.002,0.3402,0.0068,0.665,0.000115,0.51,26.0
48,12582912,544.4,23108,44.38,73.0,47.38,49.3,50.2,0.5,0.0,-0.0006,0.002,0.3366,0.0079,0.673,0.000111,0.52,26.6
49,12845056,556.0,22676,47.79,77.0,50.79,48.9,50.5,0.6,0.0,-0.0005,0.002,0.3339,0.0053,0.678,0.000107,0.53,27.2
50,13107200,567.2,23330,49.6,82.0,52.6,48.5,50.9,0.6,0.0,-0.0004,0.002,0.3321,0.0041,0.676,0.000103,0.54,27.9
51,13369344,597.9,23251,46.93,72.0,49.93,48.1,51.3,0.6,0.0,-0.0006,0.002,0.3294,0.0069,0.681,9.9e-05,0.55,28.5
52,13631488,609.0,23596,44.24,73.0,47.24,47.8,51.6,0.6,0.0,-0.0006,0.002,0.33,0.0091,0.681,9.6e-05,0.57,29.1
53,13893632,620.6,22705,47.06,77.0,50.06,47.5,51.9,0.6,0.0,-0.0004,0.002,0.3283,0.0066,0.693,9.2e-05,0.58,29.7
54,14155776,632.1,22812,47.99,75.0,50.99,47.2,52.2,0.7,0.0,-0.0004,0.002,0.3264,0.0064,0.685,8.8e-05,0.59,30.2
55,14417920,643.4,23227,46.66,76.0,49.66,46.9,52.5,0.7,0.0,-0.0004,0.002,0.3241,0.0051,0.694,8.4e-05,0.6,30.8
56,14680064,654.6,23387,44.93,81.0,47.93,46.5,52.8,0.7,0.0,-0.0004,0.002,0.3225,0.0038,0.697,8e-05,0.61,31.4
57,14942208,665.9,23078,47.82,77.0,50.82,46.2,53.1,0.7,0.0,-0.0004,0.002,0.32,0.0046,0.711,7.6e-05,0.62,32.0
58,15204352,677.5,22686,47.72,79.0,50.72,45.9,53.4,0.7,0.0,-0.0005,0.002,0.321,0.0065,0.707,7.2e-05,0.63,32.5
59,15466496,688.9,22956,47.96,79.0,50.96,45.6,53.7,0.7,0.0,-0.0004,0.002,0.3186,0.0047,0.709,6.8e-05,0.63,32.9
60,15728640,700.3,23056,48.96,77.0,51.96,45.3,53.9,0.7,0.0,-0.0004,0.002,0.3161,0.0051,0.701,6.4e-05,0.64,33.4
61,15990784,732.3,22966,46.85,79.0,49.85,45.0,54.2,0.8,0.0,-0.0005,0.002,0.3148,0.004,0.705,6e-05,0.65,34.0
62,16252928,743.7,22908,49.0,83.0,52.0,44.8,54.4,0.8,0.0,-0.0004,0.002,0.3122,0.0047,0.711,5.6e-05,0.66,34.5
63,16515072,755.3,22640,48.01,76.0,51.01,44.5,54.7,0.8,0.0,-0.0004,0.002,0.3121,0.0026,0.72,5.2e-05,0.67,35.0
64,16777216,767.2,22077,47.7,77.0,50.7,44.2,55.0,0.8,0.0,-0.0004,0.002,0.3102,0.0021,0.717,4.8e-05,0.68,35.5
65,17039360,779.2,21871,47.65,82.0,50.65,43.9,55.2,0.8,0.0,-0.0004,0.002,0.3111,0.0036,0.722,4.4e-05,0.68,36.0
66,17301504,791.4,21502,49.05,83.0,52.05,43.7,55.4,0.9,0.0,-0.0003,0.002,0.3084,0.0017,0.723,4e-05,0.69,36.4
67,17563648,803.2,22216,48.56,75.0,51.56,43.4,55.7,0.9,0.0,-0.0003,0.002,0.308,0.002,0.727,3.7e-05,0.7,36.9
68,17825792,815.0,22241,48.78,78.0,51.78,43.2,55.9,0.9,0.0,-0.0003,0.002,0.3084,0.0017,0.717,3.3e-05,0.7,37.4
69,18087936,826.9,21924,49.4,80.0,52.4,42.9,56.1,0.9,0.0,-0.0002,0.002,0.3096,0.0011,0.721,2.9e-05,0.71,37.8
70,18350080,838.7,22172,49.22,79.0,52.22,42.7,56.4,1.0,0.0,-0.0002,0.002,0.308,0.0009,0.717,2.5e-05,0.71,38.2
71,18612224,870.0,22124,48.62,79.0,51.62,42.4,56.6,1.0,0.0,-0.0002,0.002,0.3058,0.0007,0.721,2.1e-05,0.72,38.6
72,18874368,881.6,22586,49.42,82.0,52.42,42.2,56.8,1.0,0.0,-0.0001,0.002,0.3077,0.0002,0.729,1.7e-05,0.73,39.1
73,19136512,893.3,22404,47.74,81.0,50.74,42.0,57.0,1.0,0.0,-0.0002,0.002,0.3065,0.0003,0.725,1.5e-05,0.73,39.5
74,19398656,905.1,22338,48.42,75.0,51.42,41.7,57.3,1.0,0.0,-0.0003,0.002,0.305,0.0012,0.733,1.5e-05,0.74,40.0
75,19660800,916.9,22210,48.2,74.0,51.2,41.5,57.4,1.0,0.0,-0.0002,0.002,0.3068,0.0022,0.727,1.5e-05,0.75,40.4
76,19922944,928.8,21988,47.93,80.0,50.93,41.3,57.6,1.0,0.0,-0.0001,0.002,0.3062,0.0001,0.715,1.5e-05,0.75,40.7
77,20185088,940.8,21849,47.51,79.0,50.51,41.1,57.8,1.0,0.0,-0.0002,0.002,0.3034,0.0004,0.729,1.5e-05,0.76,41.2
