update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
193,50593792,2458.9,22123,60.07,84.0,63.07,34.9,61.3,3.8,0.0,-0.0002,0.002,0.1786,0.0009,0.872,2.7e-05
194,50855936,2470.9,21974,59.61,89.0,62.61,34.9,61.3,3.8,0.0,-0.0003,0.002,0.1739,0.0022,0.87,2.6e-05
195,51118080,2482.5,22441,61.99,86.0,64.99,34.9,61.3,3.8,0.0,-0.0002,0.002,0.1721,0.0017,0.872,2.4e-05
196,51380224,2494.3,22336,58.78,92.0,61.78,34.9,61.2,3.9,0.0,-0.0002,0.002,0.1728,0.0006,0.866,2.3e-05
197,51642368,2506.1,22135,62.82,87.0,65.82,34.8,61.2,3.9,0.0,-0.0002,0.002,0.1699,0.0013,0.869,2.2e-05
198,51904512,2518.1,21854,61.8,90.0,64.8,34.8,61.2,4.0,0.0,-0.0002,0.002,0.1689,0.0011,0.865,2e-05
199,52166656,2530.1,21897,59.28,87.0,62.28,34.8,61.2,4.0,0.0,-0.0002,0.002,0.1724,0.0014,0.866,1.9e-05
200,52428800,2541.8,22413,59.74,88.0,62.74,34.8,61.2,4.0,0.0,-0.0002,0.002,0.1718,0.0017,0.869,1.8e-05
201,52690944,2588.9,22222,58.92,87.0,61.92,34.7,61.2,4.0,0.0,-0.0002,0.002,0.1727,0.0003,0.87,1.5e-05
202,52953088,2600.9,21889,61.19,89.0,64.19,34.7,61.2,4.1,0.0,-0.0002,0.002,0.1731,0.0012,0.871,1.5e-05
203,53215232,2612.9,21825,59.03,85.0,62.03,34.7,61.2,4.1,0.0,-0.0002,0.002,0.1722,0.0004,0.868,1.5e-05
204,53477376,2624.7,22091,59.51,84.0,62.51,34.7,61.2,4.1,0.0,-0.0002,0.002,0.1731,0.0016,0.87,1.5e-05
205,53739520,2636.4,22421,59.55,85.0,62.55,34.6,61.2,4.2,0.0,-0.0002,0.002,0.1728,0.001,0.867,1.5e-05
206,54001664,2648.0,22569,59.74,89.0,62.74,34.6,61.2,4.2,0.0,-0.0001,0.002,0.1712,0.0005,0.871,1.5e-05
207,54263808,2659.9,22190,60.87,88.0,63.87,34.6,61.2,4.2,0.0,-0.0001,0.001,0.1702,0.0011,0.87,1.5e-05
208,54525952,2672.2,21271,58.4,86.0,61.4,34.6,61.2,4.2,0.0,-0.0001,0.002,0.1708,0.0,0.868,1.5e-05
209,54788096,2683.9,22430,60.77,86.0,63.77,34.6,61.1,4.3,0.0,-0.0001,0.001,0.1715,0.0005,0.868,1.5e-05
210,55050240,2695.6,22296,60.9,89.0,63.9,34.6,61.1,4.3,0.0,-0.0003,0.002,0.1688,0.0016,0.869,1.5e-05
211,55312384,2707.4,22193,61.68,86.0,64.68,34.6,61.1,4.3,0.0,-0.0001,0.002,0.1693,0.0009,0.871,1.5e-05
