update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr
45,11796480,488.6,20200,44.9,82.0,47.9,50.4,49.3,0.3,0.0,-0.0004,0.002,0.3251,0.0182,0.714,0.000246
46,12058624,501.4,20478,45.67,75.0,48.67,50.0,49.7,0.3,0.0,-0.0006,0.002,0.3246,0.0115,0.706,0.000245
47,12320768,525.2,11033,47.18,76.0,50.18,49.7,50.0,0.3,0.0,-0.0006,0.002,0.3249,0.0126,0.713,0.000243
48,12582912,537.8,20826,43.8,79.0,46.8,49.3,50.3,0.3,0.0,-0.0007,0.002,0.3243,0.0113,0.719,0.000241
49,12845056,550.5,20556,47.91,85.0,50.91,49.0,50.6,0.3,0.0,-0.0004,0.002,0.3179,0.0135,0.73,0.000239
50,13107200,562.9,21218,45.22,76.0,48.22,48.7,50.9,0.4,0.0,-0.0003,0.002,0.3188,0.015,0.725,0.000238
51,13369344,603.7,17890,49.27,79.0,52.27,48.4,51.2,0.4,0.0,-0.0003,0.002,0.3125,0.0152,0.736,0.000233
52,13631488,617.9,18470,49.12,81.0,52.12,48.1,51.5,0.4,0.0,-0.0004,0.002,0.3095,0.0163,0.741,0.000232
53,13893632,630.7,20503,46.92,78.0,49.92,47.8,51.8,0.4,0.0,-0.0006,0.002,0.3091,0.0118,0.739,0.00023
54,14155776,644.1,19557,47.42,82.0,50.42,47.6,52.0,0.4,0.0,-0.0003,0.002,0.307,0.0118,0.753,0.000229
55,14417920,657.4,19592,48.01,79.0,51.01,47.3,52.3,0.4,0.0,-0.0006,0.002,0.306,0.0127,0.748,0.000227
56,14680064,670.0,20829,48.12,76.0,51.12,47.0,52.5,0.4,0.0,-0.0004,0.002,0.301,0.0125,0.754,0.000226
57,14942208,683.2,19946,46.61,80.0,49.61,46.8,52.8,0.4,0.0,-0.0004,0.002,0.302,0.0119,0.761,0.000225
58,15204352,696.4,19844,48.36,79.0,51.36,46.5,53.0,0.5,0.0,-0.0006,0.002,0.3005,0.0136,0.763,0.000223
59,15466496,709.1,20565,49.76,82.0,52.76,46.2,53.3,0.5,0.0,-0.0005,0.002,0.297,0.0143,0.763,0.000222
60,15728640,721.8,20627,50.51,80.0,53.51,46.0,53.5,0.5,0.0,-0.0003,0.002,0.2988,0.0111,0.77,0.00022
61,15990784,734.7,20411,48.39,72.0,51.39,45.7,53.8,0.5,0.0,-0.0004,0.002,0.3012,0.0125,0.768,0.000219
62,16252928,746.4,22434,49.18,77.0,52.18,45.5,54.0,0.5,0.0,-0.0005,0.002,0.2971,0.0092,0.776,0.000217
63,16515072,757.8,22889,50.25,80.0,53.25,45.3,54.2,0.5,0.0,-0.0004,0.002,0.2957,0.0105,0.773,0.000216
64,16777216,769.5,22402,48.59,77.0,51.59,45.0,54.4,0.6,0.0,-0.0004,0.002,0.2956,0.0122,0.775,0.000215
65,17039360,781.0,22929,49.44,81.0,52.44,44.8,54.6,0.6,0.0,-0.0005,0.002,0.2932,0.0122,0.78,0.000213
66,17301504,792.6,22483,49.9,81.0,52.9,44.6,54.8,0.6,0.0,-0.0004,0.002,0.2938,0.0117,0.782,0.000212
67,17563648,804.7,21721,52.33,80.0,55.33,44.3,55.0,0.6,0.0,-0.0003,0.002,0.2887,0.0121,0.792,0.000211
68,17825792,816.2,22725,47.09,79.0,50.09,44.1,55.2,0.7,0.0,-0.0004,0.002,0.2875,0.0114,0.79,0.00021
69,18087936,827.7,22781,49.79,81.0,52.79,43.9,55.4,0.7,0.0,-0.0005,0.002,0.2876,0.0108,0.793,0.000208
70,18350080,839.5,22298,52.39,82.0,55.39,43.7,55.6,0.7,0.0,-0.0003,0.002,0.2826,0.0109,0.793,0.000207
71,18612224,851.2,22352,51.2,81.0,54.2,43.5,55.8,0.7,0.0,-0.0005,0.002,0.284,0.0129,0.801,0.000206
72,18874368,862.8,22598,49.07,83.0,52.07,43.3,55.9,0.7,0.0,-0.0001,0.002,0.2787,0.015,0.794,0.000204
73,19136512,874.3,22773,51.11,79.0,54.11,43.1,56.1,0.7,0.0,-0.0006,0.002,0.2775,0.0102,0.8,0.000203
74,19398656,885.9,22696,53.1,86.0,56.1,42.9,56.3,0.8,0.0,-0.0004,0.002,0.2763,0.0106,0.8,0.000202
75,19660800,897.7,22111,51.86,82.0,54.86,42.8,56.5,0.8,0.0,-0.0004,0.002,0.2749,0.0099,0.802,0.000201
76,19922944,940.0,22162,49.99,84.0,52.99,42.6,56.6,0.8,0.0,-0.0005,0.002,0.2746,0.01,0.798,0.000196
77,20185088,951.9,21906,50.19,79.0,53.19,42.4,56.8,0.8,0.0,-0.0004,0.002,0.2734,0.0076,0.811,0.000194
78,20447232,963.6,22410,50.82,81.0,53.82,42.2,57.0,0.8,0.0,-0.0005,0.002,0.2722,0.0127,0.807,0.000193
79,20709376,975.6,21873,52.87,82.0,55.87,42.0,57.1,0.8,0.0,-0.0004,0.002,0.2699,0.0114,0.815,0.000192
80,20971520,987.3,22412,55.05,83.0,58.05,41.9,57.3,0.8,0.0,-0.0004,0.002,0.2698,0.0098,0.817,0.000191
81,21233664,999.2,22135,51.73,80.0,54.73,41.8,57.4,0.9,0.0,-0.0004,0.002,0.2693,0.0119,0.809,0.000189
82,21495808,1010.8,22509,53.85,82.0,56.85,41.6,57.5,0.9,0.0,-0.0004,0.002,0.268,0.0129,0.815,0.000188
83,21757952,1022.5,22482,53.63,81.0,56.63,41.5,57.6,0.9,0.0,-0.0006,0.002,0.2696,0.0098,0.816,0.000187
84,22020096,1034.2,22378,51.4,82.0,54.4,41.3,57.7,0.9,0.0,-0.0004,0.002,0.2673,0.0098,0.82,0.000185
85,22282240,1046.0,22145,50.66,81.0,53.66,41.2,57.9,0.9,0.0,-0.0005,0.002,0.267,0.009,0.817,0.000184
86,22544384,1057.7,22501,51.86,90.0,54.86,41.0,58.0,1.0,0.0,-0.0005,0.002,0.2631,0.0089,0.827,0.000183
87,22806528,1069.2,22733,52.19,80.0,55.19,40.9,58.1,1.0,0.0,-0.0003,0.002,0.2614,0.0105,0.818,0.000181
88,23068672,1081.1,22035,53.43,90.0,56.43,40.8,58.2,1.0,0.0,-0.0004,0.002,0.2629,0.0089,0.825,0.00018
89,23330816,1093.0,22108,54.99,85.0,57.99,40.6,58.3,1.0,0.0,-0.0005,0.002,0.2565,0.0096,0.822,0.000179
90,23592960,1104.8,22186,52.86,84.0,55.86,40.5,58.4,1.1,0.0,-0.0004,0.002,0.2574,0.0111,0.821,0.000177
91,23855104,1116.3,22764,53.16,83.0,56.16,40.4,58.5,1.1,0.0,-0.0003,0.002,0.254,0.0118,0.831,0.000176
92,24117248,1128.4,21635,54.9,82.0,57.9,40.3,58.6,1.1,0.0,-0.0003,0.002,0.2539,0.0107,0.834,0.000175
93,24379392,1140.0,22565,53.24,82.0,56.24,40.1,58.7,1.1,0.0,-0.0003,0.002,0.252,0.0128,0.826,0.000174
94,24641536,1151.4,22985,56.53,88.0,59.53,40.0,58.8,1.2,0.0,-0.0003,0.002,0.2509,0.0095,0.829,0.000172
95,24903680,1163.2,22373,53.63,83.0,56.63,39.9,58.9,1.2,0.0,-0.0004,0.002,0.2514,0.0072,0.835,0.000171
96,25165824,1175.1,22022,55.28,86.0,58.28,39.8,59.0,1.2,0.0,-0.0004,0.002,0.2522,0.009,0.837,0.00017
97,25427968,1186.8,22370,53.08,82.0,56.08,39.7,59.1,1.2,0.0,-0.0004,0.002,0.2503,0.0113,0.833,0.000168
98,25690112,1198.3,22651,55.04,82.0,58.04,39.6,59.2,1.2,0.0,-0.0003,0.002,0.2506,0.0086,0.833,0.000167
99,25952256,1209.8,22851,53.1,78.0,56.1,39.5,59.3,1.3,0.0,-0.0002,0.002,0.2494,0.0113,0.833,0.000166
100,26214400,1221.5,22431,53.41,83.0,56.41,39.4,59.3,1.3,0.0,-0.0004,0.002,0.2519,0.0104,0.834,0.000165
101,26476544,1264.4,21871,53.66,82.0,56.66,39.3,59.4,1.3,0.0,-0.0005,0.002,0.2491,0.0087,0.834,0.00016
102,26738688,1276.2,22305,57.91,88.0,60.91,39.2,59.5,1.3,0.0,-0.0003,0.002,0.2468,0.0072,0.837,0.000158
103,27000832,1287.9,22378,54.55,78.0,57.55,39.1,59.6,1.3,0.0,-0.0003,0.002,0.2475,0.0099,0.838,0.000157
104,27262976,1299.4,22685,54.0,77.0,57.0,39.0,59.6,1.4,0.0,-0.0003,0.002,0.2454,0.0098,0.838,0.000156
105,27525120,1311.2,22274,54.27,80.0,57.27,38.9,59.7,1.4,0.0,-0.0004,0.002,0.2433,0.0092,0.84,0.000155
106,27787264,1322.8,22575,55.4,85.0,58.4,38.8,59.8,1.4,0.0,-0.0004,0.002,0.2426,0.0095,0.842,0.000153
107,28049408,1334.4,22642,54.47,85.0,57.47,38.7,59.8,1.4,0.0,-0.0003,0.002,0.2392,0.0086,0.843,0.000152
108,28311552,1346.2,22301,55.87,83.0,58.87,38.6,59.9,1.5,0.0,-0.0004,0.002,0.2401,0.0067,0.841,0.000151
109,28573696,1357.9,22304,55.62,83.0,58.62,38.6,60.0,1.5,0.0,-0.0003,0.002,0.2376,0.0077,0.845,0.000149
110,28835840,1369.4,22735,56.61,85.0,59.61,38.5,60.0,1.5,0.0,-0.0004,0.002,0.2341,0.0081,0.844,0.000148
111,29097984,1381.1,22508,55.38,87.0,58.38,38.4,60.1,1.5,0.0,-0.0003,0.002,0.2348,0.0082,0.849,0.000147
112,29360128,1392.8,22398,56.43,83.0,59.43,38.3,60.2,1.6,0.0,-0.0004,0.002,0.2325,0.0076,0.842,0.000146
113,29622272,1404.7,21978,54.98,85.0,57.98,38.2,60.2,1.6,0.0,-0.0002,0.002,0.2333,0.0116,0.839,0.000144
114,29884416,1416.7,21961,55.17,91.0,58.17,38.1,60.3,1.6,0.0,-0.0004,0.002,0.2315,0.0067,0.841,0.000143
115,30146560,1428.3,22488,55.52,79.0,58.52,38.0,60.3,1.6,0.0,-0.0004,0.002,0.2294,0.0087,0.846,0.000142
116,30408704,1439.9,22712,53.46,85.0,56.46,37.9,60.4,1.6,0.0,-0.0003,0.002,0.2311,0.0083,0.845,0.00014
117,30670848,1451.7,22078,55.41,81.0,58.41,37.9,60.5,1.7,0.0,-0.0003,0.002,0.2267,0.0084,0.848,0.000139
118,30932992,1463.3,22744,58.21,86.0,61.21,37.8,60.5,1.7,0.0,-0.0003,0.002,0.2243,0.0074,0.851,0.000138
119,31195136,1475.1,22115,53.32,82.0,56.32,37.8,60.5,1.7,0.0,-0.0003,0.002,0.2221,0.0061,0.844,0.000136
120,31457280,1486.8,22355,56.9,87.0,59.9,37.7,60.6,1.7,0.0,-0.0003,0.002,0.222,0.0079,0.846,0.000135
121,31719424,1498.5,22461,54.29,86.0,57.29,37.6,60.6,1.8,0.0,-0.0003,0.002,0.2237,0.0063,0.843,0.000134
122,31981568,1510.2,22405,55.04,82.0,58.04,37.6,60.6,1.8,0.0,-0.0004,0.002,0.222,0.0065,0.85,0.000132
123,32243712,1521.9,22477,57.55,86.0,60.55,37.5,60.7,1.8,0.0,-0.0004,0.002,0.2206,0.0069,0.851,0.000131
124,32505856,1534.0,21597,57.93,87.0,60.93,37.4,60.7,1.9,0.0,-0.0003,0.002,0.2204,0.0082,0.852,0.00013
125,32768000,1545.8,22249,54.38,86.0,57.38,37.3,60.8,1.9,0.0,-0.0004,0.002,0.2168,0.0067,0.853,0.000128
126,33030144,1591.5,21826,56.81,91.0,59.81,37.3,60.9,1.9,0.0,-0.0002,0.002,0.2168,0.0078,0.851,0.000123
127,33292288,1603.4,21941,55.88,85.0,58.88,37.2,60.9,1.9,0.0,-0.0005,0.002,0.214,0.0095,0.849,0.000122
128,33554432,1615.3,22066,59.17,90.0,62.17,37.2,60.9,2.0,0.0,-0.0003,0.002,0.2155,0.0079,0.852,0.000121
129,33816576,1627.3,21944,58.42,88.0,61.42,37.1,60.9,2.0,0.0,-0.0004,0.002,0.2147,0.0079,0.854,0.000119
130,34078720,1639.1,22157,57.44,90.0,60.44,37.1,60.9,2.0,0.0,-0.0003,0.002,0.2144,0.0076,0.858,0.000118
131,34340864,1651.1,21847,56.61,85.0,59.61,37.1,60.9,2.0,0.0,-0.0004,0.002,0.211,0.0069,0.85,0.000117
132,34603008,1662.7,22505,56.29,87.0,59.29,37.0,60.9,2.1,0.0,-0.0004,0.002,0.21,0.006,0.853,0.000116
133,34865152,1675.0,21435,57.04,89.0,60.04,36.9,61.0,2.1,0.0,-0.0005,0.002,0.2117,0.0073,0.855,0.000114
134,35127296,1686.7,22274,56.77,85.0,59.77,36.9,61.0,2.1,0.0,-0.0003,0.002,0.2095,0.0071,0.855,0.000113
135,35389440,1698.6,22105,57.42,83.0,60.42,36.8,61.0,2.2,0.0,-0.0004,0.002,0.2109,0.0061,0.851,0.000112
