update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
1,131072,10.9,12070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0023,0.006,1.0442,0.0056,-1.366,0.000285,0.0,0.0
2,262144,21.7,12057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0042,0.002,1.0159,0.0022,0.259,0.000266,0.01,0.0
3,393216,32.4,12341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054,0.001,0.989,0.0193,0.149,0.000248,0.02,0.0
4,524288,43.0,12314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003,0.001,0.9284,0.0258,-0.39,0.00023,0.03,0.0
5,655360,53.6,12405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.8961,0.0139,-0.668,0.000213,0.04,0.0
6,786432,78.8,12264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.8986,0.0076,-0.75,0.000171,0.05,0.0
7,917504,89.4,12332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012,0.0,0.8855,0.0083,-0.823,0.000153,0.05,0.0
8,1048576,100.0,12317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.8735,0.0077,-1.152,0.000135,0.05,0.0
9,1179648,110.7,12237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.8668,0.0057,-1.472,0.000118,0.05,0.0
10,1310720,121.3,12358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.8663,0.0064,-1.785,0.0001,0.05,0.0
11,1441792,145.9,12397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.8423,0.0016,-2.113,5.9e-05,0.05,0.0
12,1572864,156.5,12413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.8301,0.0,-2.567,4.1e-05,0.05,0.0
13,1703936,166.8,12702,0.93,4.0,3.93,0.0,0.0,100.0,0.0,-0.0001,0.0,0.8384,0.0,-1.618,2.4e-05,0.04,37.0
14,1835008,177.3,12499,0.93,4.0,3.93,0.0,0.0,100.0,0.0,-0.0003,0.0,0.8367,0.0,-1.603,1.5e-05,0.04,37.0
15,1966080,187.8,12483,0.93,4.0,3.93,0.0,0.0,100.0,0.0,-0.0002,0.0,0.829,0.0,-2.123,1.5e-05,0.04,37.0
