update,env_steps,wall_s,sps,ep_mean100,ep_max,len_mean,wall%,self%,cap%,win%,pi_loss,v_loss,entropy,clipfrac,explvar,lr,doomed%,ep_doomed%
44,11534336,492.6,22440,51.85,86.0,54.85,52.9,46.3,0.8,0.0,-0.0005,0.003,0.3456,0.0051,0.634,0.000127,0.35,20.6
45,11796480,504.0,22859,45.64,76.0,48.64,52.5,46.6,0.9,0.0,-0.0006,0.003,0.3422,0.0079,0.629,0.000123,0.36,21.1
46,12058624,515.4,23057,47.07,74.0,50.07,52.1,47.0,0.9,0.0,-0.0004,0.003,0.3437,0.0075,0.655,0.000119,0.37,21.7
47,12320768,526.9,22715,49.97,74.0,52.97,51.6,47.4,1.0,0.0,-0.0005,0.003,0.3372,0.0071,0.656,0.000115,0.37,22.2
48,12582912,538.5,22685,49.62,75.0,52.62,51.2,47.7,1.0,0.0,-0.0007,0.002,0.3347,0.0075,0.661,0.000111,0.38,22.7
49,12845056,550.0,22819,51.34,76.0,54.34,50.9,48.1,1.1,0.0,-0.0005,0.003,0.3339,0.009,0.661,0.000107,0.38,23.2
50,13107200,561.4,22907,50.13,76.0,53.13,50.5,48.3,1.1,0.0,-0.0006,0.002,0.3319,0.0079,0.673,0.000103,0.38,23.6
51,13369344,594.2,22265,49.22,79.0,52.22,50.2,48.6,1.2,0.0,-0.0006,0.002,0.33,0.006,0.666,9.9e-05,0.39,24.0
52,13631488,605.8,22632,50.91,75.0,53.91,49.8,48.9,1.3,0.0,-0.0005,0.002,0.3258,0.0058,0.674,9.6e-05,0.39,24.5
53,13893632,617.4,22603,53.12,79.0,56.12,49.5,49.2,1.3,0.0,-0.0004,0.002,0.3209,0.0082,0.69,9.2e-05,0.4,24.9
54,14155776,628.9,22781,50.76,75.0,53.76,49.2,49.4,1.4,0.0,-0.0004,0.002,0.3202,0.0044,0.689,8.8e-05,0.4,25.3
55,14417920,640.4,22795,50.17,80.0,53.17,48.9,49.6,1.5,0.0,-0.0007,0.002,0.316,0.0073,0.682,8.4e-05,0.4,25.7
56,14680064,652.2,22207,51.94,77.0,54.94,48.6,49.9,1.5,0.0,-0.0004,0.002,0.3164,0.0042,0.688,8e-05,0.41,26.1
57,14942208,663.9,22486,51.92,80.0,54.92,48.3,50.1,1.6,0.0,-0.0005,0.002,0.3187,0.0038,0.701,7.6e-05,0.41,26.5
58,15204352,675.5,22525,50.26,81.0,53.26,48.0,50.4,1.7,0.0,-0.0004,0.003,0.3175,0.0053,0.697,7.2e-05,0.41,27.0
59,15466496,687.5,21902,52.84,78.0,55.84,47.7,50.6,1.8,0.0,-0.0005,0.003,0.3171,0.0045,0.705,6.8e-05,0.42,27.4
60,15728640,699.0,22767,52.12,76.0,55.12,47.4,50.8,1.8,0.0,-0.0005,0.002,0.3146,0.0055,0.707,6.4e-05,0.42,27.7
61,15990784,731.9,22628,54.48,82.0,57.48,47.1,51.0,1.9,0.0,-0.0005,0.002,0.3165,0.0038,0.704,6e-05,0.42,28.1
62,16252928,743.8,22153,53.08,79.0,56.08,46.8,51.2,2.0,0.0,-0.0004,0.003,0.3145,0.0049,0.7,5.6e-05,0.43,28.5
63,16515072,755.4,22625,52.82,77.0,55.82,46.6,51.4,2.0,0.0,-0.0003,0.002,0.3154,0.002,0.705,5.2e-05,0.43,28.9
64,16777216,767.1,22271,52.74,82.0,55.74,46.3,51.6,2.1,0.0,-0.0003,0.002,0.314,0.0023,0.705,4.8e-05,0.43,29.2
65,17039360,778.6,22908,54.12,75.0,57.12,46.1,51.8,2.2,0.0,-0.0003,0.002,0.3128,0.0023,0.709,4.4e-05,0.43,29.5
66,17301504,790.9,21300,52.01,78.0,55.01,45.8,52.0,2.2,0.0,-0.0003,0.002,0.31,0.0018,0.708,4e-05,0.43,29.9
67,17563648,803.1,21503,53.53,82.0,56.53,45.6,52.1,2.3,0.0,-0.0003,0.002,0.312,0.0023,0.711,3.7e-05,0.44,30.3
68,17825792,814.6,22764,56.39,78.0,59.39,45.4,52.3,2.3,0.0,-0.0002,0.002,0.3084,0.0009,0.718,3.3e-05,0.44,30.6
69,18087936,826.3,22341,53.69,78.0,56.69,45.1,52.5,2.4,0.0,-0.0004,0.002,0.3098,0.0033,0.716,2.9e-05,0.44,31.0
70,18350080,838.5,21483,52.99,79.0,55.99,44.9,52.6,2.5,0.0,-0.0002,0.002,0.3073,0.0009,0.711,2.5e-05,0.44,31.3
71,18612224,872.4,21799,56.02,83.0,59.02,44.7,52.7,2.6,0.0,-0.0002,0.002,0.305,0.0021,0.728,2.1e-05,0.45,31.6
72,18874368,884.3,21959,52.82,78.0,55.82,44.4,52.9,2.6,0.0,-0.0002,0.002,0.3085,0.0018,0.723,1.7e-05,0.45,32.0
73,19136512,896.4,21758,53.7,82.0,56.7,44.2,53.1,2.7,0.0,-0.0001,0.002,0.3066,0.0002,0.725,1.5e-05,0.45,32.3
74,19398656,908.6,21456,55.15,84.0,58.15,44.0,53.2,2.8,0.0,-0.0002,0.002,0.3063,0.0002,0.728,1.5e-05,0.45,32.6
75,19660800,920.8,21573,52.36,81.0,55.36,43.8,53.3,2.9,0.0,-0.0002,0.002,0.3074,0.0012,0.722,1.5e-05,0.46,33.0
76,19922944,932.8,21729,52.27,89.0,55.27,43.6,53.5,2.9,0.0,-0.0001,0.002,0.3054,0.0,0.72,1.5e-05,0.46,33.3
77,20185088,944.8,21824,53.25,77.0,56.25,43.4,53.6,3.0,0.0,-0.0002,0.002,0.3045,0.0002,0.711,1.5e-05,0.46,33.6
